scope,category,base_api,description,forms,source
header,3c2e,int3c2e_pvxp1,(P* i CROSS P j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:974
header,3c2e,int3c2e_spsp1,(SIGMA DOT P i SIGMA DOT P j|R12 |k),optimizer;cart;sph;spinor,include/cint_funcs.h:998
header,3c2e,int3c2e_spsp1ip2,(SIGMA DOT P i SIGMA DOT P j|R12 |NABLA k),optimizer;cart;sph;spinor,include/cint_funcs.h:1010
source-only,1e,int1e_r2_origi,( r dot r | ) source-only,optimizer;cart;sph;spinor,src/cint1e_a.c:16-71
source-only,1e,int1e_r4_origi,( r dot r r dot r | ) source-only,optimizer;cart;sph;spinor,src/cint1e_a.c:73-147
source-only,1e,int1e_r2_origi_ip2,<R DOT R i|OVLP|NABLA j> source-only,optimizer;cart;sph;spinor,src/cint1e_a.c:150-214
source-only,1e,int1e_r4_origi_ip2,<R DOT R R DOT R i|OVLP|NABLA j> source-only,optimizer;cart;sph;spinor,src/cint1e_a.c:217-316
source-only,1e,int1e_grids,"generic grids family, source-only",optimizer;cart;sph;spinor,src/cint1e_grids.c:368
source-only,2e,int2e_breit_r1p2,Breit family source-only,optimizer;cart;sph;spinor,src/breit.c:227
source-only,2e,int2e_breit_r2p2,Breit family source-only,optimizer;cart;sph;spinor,src/breit.c:316
source-only,2e,int2e_yp,Yukawa potential (WITH_F12),optimizer;sph,src/cint2e_f12.c:28-55
source-only,2e,int2e_stg,Slater-type geminal (WITH_F12),optimizer;sph,src/cint2e_f12.c:12-55
source-only,2e,int2e_yp_ip1,Yukawa derivative (WITH_F12),optimizer;sph,src/cint2e_f12.c:65-78
source-only,2e,int2e_stg_ip1,STG derivative (WITH_F12),optimizer;sph,src/cint2e_f12.c:80-93
source-only,2e,int2e_yp_ipip1,Yukawa Hessian-like (WITH_F12),optimizer;sph,src/cint2e_f12.c:101-114
source-only,2e,int2e_stg_ipip1,STG Hessian-like (WITH_F12),optimizer;sph,src/cint2e_f12.c:116-129
source-only,2e,int2e_yp_ipvip1,Yukawa Hessian-like (WITH_F12),optimizer;sph,src/cint2e_f12.c:137-150
source-only,2e,int2e_stg_ipvip1,STG Hessian-like (WITH_F12),optimizer;sph,src/cint2e_f12.c:152-165
source-only,2e,int2e_yp_ip1ip2,Yukawa mixed derivative (WITH_F12),optimizer;sph,src/cint2e_f12.c:173-186
source-only,2e,int2e_stg_ip1ip2,STG mixed derivative (WITH_F12),optimizer;sph,src/cint2e_f12.c:188-201
